EmployeeID,Wage,HiredOn,Branch#,Current status,Position,Role,AvgWorkingHours/Week,ApplicantID,emp_id,app_id,branch,status,role,wage,position,hours,is_exited,is_fired,tenure_days,tenure_months,role_level,wage_num,hours_bracket,avg_score,max_score,num_reviews,score_trend,perf_tier,first_promo_date,was_promoted,ReasonForLeaving,PastRelevantExperience,YearsOfRelevantExperience,HighestEducationLevel,YearOfBirth,age,age_group,days_to_promo,months_to_promo,is_hp,tenure_bracket
5764,Minimum,2022-06-13,1,Working,full-time,Manager,48.8,107642,5764,107642,1,Working,Manager,Minimum,full-time,48.8,0,0,1370,45.0,5,1,Full-time (32h+),90.3092857142857,94.96,14,4.13,High Performer,2023-03-15,1,,True,2,Bachelor,2004,22,Under 23 (Student-age),275.0,9.0,1,24+ mo
5997,Minimum,2024-02-26,1,Working,full-time,Manager,50.4,109966,5997,109966,1,Working,Manager,Minimum,full-time,50.4,0,0,747,24.5,5,1,Full-time (32h+),89.34857142857143,92.49,7,-5.88,High Performer,2025-01-24,1,,True,3,Bachelor,2006,20,Under 23 (Student-age),333.0,10.9,1,24+ mo
5454,Competitive,2024-06-20,1,Working,full-time,Manager,49.2,104693,5454,104693,1,Working,Manager,Competitive,full-time,49.2,0,0,632,20.8,5,2,Full-time (32h+),77.69500000000001,81.34,6,-4.37,Low Performer,2024-12-25,1,,False,0,Master,1989,37,35+,188.0,6.2,0,18-24 mo
5557,Competitive,2024-09-04,1,Working,full-time,Manager,52.0,105628,5557,105628,1,Working,Manager,Competitive,full-time,52.0,0,0,556,18.3,5,2,Full-time (32h+),71.916,74.42,5,8.33,Low Performer,2025-01-24,1,,False,0,Associate Degree,2005,21,Under 23 (Student-age),142.0,4.7,0,18-24 mo
5923,Minimum,2024-12-07,1,Working,full-time,Manager,48.6,109352,5923,109352,1,Working,Manager,Minimum,full-time,48.6,0,0,462,15.2,5,1,Full-time (32h+),89.045,91.52,4,2.98,High Performer,,0,,True,2,Bachelor,2003,23,23-27,,,1,12-18 mo
5572,Competitive,2025-01-13,1,Working,full-time,Manager,49.0,105778,5572,105778,1,Working,Manager,Competitive,full-time,49.0,0,0,425,14.0,5,2,Full-time (32h+),90.71,92.94,3,2.71,High Performer,2025-03-16,1,,True,4,Bachelor,1999,27,23-27,62.0,2.0,1,12-18 mo
5155,Minimum,2025-03-07,1,Working,full-time,Manager,49.6,101678,5155,101678,1,Working,Manager,Minimum,full-time,49.6,0,0,372,12.2,5,1,Full-time (32h+),79.69333333333334,81.62,3,-2.6,Medium Performer,,0,,True,4,Associate Degree,2005,21,Under 23 (Student-age),,,0,12-18 mo
5711,Premium,2025-04-15,1,Working,full-time,Shift Lead,45.0,107139,5711,107139,1,Working,Shift Lead,Premium,full-time,45.0,0,0,333,10.9,4,3,Full-time (32h+),81.47999999999999,84.49,2,6.02,Medium Performer,,0,,True,2,High School,2003,23,23-27,,,0,6-12 mo
5669,Competitive,2025-05-15,1,Working,part-time,Shift Lead,27.1,106796,5669,106796,1,Working,Shift Lead,Competitive,part-time,27.1,0,0,303,10.0,4,2,Mid (20-32h),68.83000000000001,69.51,2,1.36,Low Performer,,0,,True,6,High School,2002,24,23-27,,,0,6-12 mo
5099,Competitive,2025-05-29,1,Working,full-time,Shift Lead,44.0,101123,5099,101123,1,Working,Shift Lead,Competitive,full-time,44.0,0,0,289,9.5,4,2,Full-time (32h+),85.44,85.74,2,0.6,High Performer,,0,,True,2,High School,2007,19,Under 23 (Student-age),,,1,6-12 mo
5457,Minimum,2025-07-23,1,Working,part-time,Shift Lead,24.8,104707,5457,104707,1,Working,Shift Lead,Minimum,part-time,24.8,0,0,234,7.7,4,1,Mid (20-32h),74.92,74.92,1,0.0,Low Performer,,0,,False,0,High School,2000,26,23-27,,,0,6-12 mo
5305,Competitive,2025-08-30,1,Working,full-time,Shift Lead,44.2,103377,5305,103377,1,Working,Shift Lead,Competitive,full-time,44.2,0,0,196,6.4,4,2,Full-time (32h+),85.44,85.44,1,0.0,High Performer,,0,,True,2,Bachelor,1999,27,23-27,,,1,6-12 mo
5119,Minimum,2025-10-04,1,Working,part-time,Shift Lead,22.2,101287,5119,101287,1,Working,Shift Lead,Minimum,part-time,22.2,0,0,161,5.3,4,1,Mid (20-32h),85.31,85.31,1,0.0,Medium Performer,,0,,True,2,Master,2002,24,23-27,,,0,0-6 mo
